Title,Authors,Journal/Conference,Year,Citations
"The Editors of the International Journal of Public Health express their thanks to all Reviewers in 2010 for the time they committed and the valuable input they provided, thus …","C Arslanm, TS Asole, IS Assari","Int J Public Health 56, 121-124",2011,
La prévalence du diabète type II chez les adolescents en milieu scolaire.,O Houjeiry,,2011,
ARTICLE ORIGINAL/ORIGINAL ARTICLE,OFPSIN LEBANON,"Lebanese Medical Journal 59 (4), 179",2011,
"Report on the Consultation on establishing clinical trial registries in the Eastern Mediterranean Region Cairo, Egypt 31 October–1 November 2011",World Health Organization,Report on the Consultation on establishing clinical trial registries in the …,2011,
Obesity associated behaviour in 1933 Lebanese adolescents,"P Salameh, B Barbour",Lebanese Medical Journal 59 (4),2011,
VIIIth IEA Eastern Mediterranean Regional Scientific Meeting,CP Hotel,,2010,
Industrial Disaster and Its Impact on Human Rights: A Gendered Perspective,D Noeswantari,"Jurnal DINAMIKA HAM 9 (3), 159-182",2009,
The environmental contamination by organochlorine insecticides of some agricultural areas in Malaysia.,"SH Haron, BS Ismail, MT Latif, HA Alegria, F Wong, LM Jantunen, ...","Research Journal of Environmental Sciences 6 (5), 8810-8818",2008,
Neonatal care in Mount Lebanon hospitals: Knowledge and practice of midwives,"P Salameh, B Barbour","Journal of Neonatal Nursing 13 (4), 155-161",2007,
Drug circuit in Lebanese hospitals,"P Salameh, M Semaan, R El Hawzi, M Bechara, B El Kadi","Revue D'epidemiologie et de Sante Publique 55 (4), 308-313",2007,
Article original/Original article,"M WAKED, P SALAMEH","Lebanese Medical Journal 55 (3), 145",2007,
"Symptoms, severity and asthma control in 5-14 Y-old lebanon school children","W Mirna, S Pascale",,2007,
Organization and results of an information campaign and early diagnostic in Lebanon,"G Khayat, P Salameh","Revue des maladies respiratoires 23 (4 Pt 2), 10S51-10S54",2006,
Organisation et résultats d'une campagne d'information et de dépistage de la BPCO au Liban,"G Khayat, P Salamehº","Rev Mal Respir 23, 10351-10S54",2006,
ARTICLE ORIGINAL/ORIGINAL ARTICLE,YOLDSA LEBANON,"Lebanese Medical Journal 54 (4), 181",2006,
"Asthma, allergic rhinitis and eczema in 13-14-year-old schoolchildren across Lebanon","W Mirna, S Pascale",,2006,
< A> pilot study regarding health care professionals' opinion,"S Pascale R, BC Nazih, BA Rana",,2006,
ARTICLE ORIGINAL/ORIGINAL ARTICLE,CAUL LA PHARMACIE,Journal Médical Libanais 54 (1),2006,
Symptoms and acute pesticide intoxication among agriculatural workers in Lebanon,"S Pascale R, AS Bernadette",,2004,
ﬁriﬁiiiGLE QHHGHNAUQFiitﬁ-iimﬂil AHTHQLE,AAWIN LEBANON,"Lebanese Medical Journal 52, 2",2004,
i3'll “i'iTl@ LlE@ FilGllf*~ lAl| J© Fti@|] ll ‘\*< 11AiL AHTHGLE,"RS Pascale, BARI SALEH","Lebanese Medical Journal 52, 2",2004,
Methacholine challenge test correlation with symptoms and atopy,"W Myrna, S Pascale, A Rim, K Nabil, B Joudy",,2003,
Cost minimization due to clinical pharmacist intervention in Rizk hospital,P Salameh,Rizk Hospital,2002,
4-Lebanese Cigarette Dependence Scale (LCD) development,"M Waked, G Khayat, P Salameh",Chronic Obstructive Pulmonary Disease & Risk Factors In Middle Eastern …,2002,
Troubles respiratoires chroniques non cancéreux et expositions aux pesticides: résultats d'études épidémiologiques au Liban,P Salameh,,2002,
"The Impact of COVID-19 Pandemic, Financial Wellness, and Online Teaching on Schoolteachers’ Mental Health: A Cross-Sectional Study in Lebanon","MD Tarek Baroud, MD Jad El Masri, MD Hadi Shammaa, ...",,,
From the President Research,"S Hamdan, F El-Dahiyat, EK Smith, S Tawil, H Sacre, G Sili, P Salameh, ...",,,
Late-Breaking Abstract Sessions,"MD Polina Pyatilova, P le Coutre, L Herzog, M Munoz, N Nojarov, ...",J ALLERGY CLIN IMMUNOL 155 (2),,
The Prurigo Control Test reflects the severity of itch and skin lesions in patients with chronic prurigo: Data from a real-world study,"C Zeidler, LS Stahl, S Ständer, J Loewenthal, K Weller, P Salameh, ...",Journal of the European Academy of Dermatology and Venereology: JEADV,,
Journal of Pharmaceutical and Scientific Innovation,"S Abou Dargham, R Alloush, I Nader, P Salameh, S Awada, A Maria",,,
"Quality of Life, Knowledge and Access to Treatment in Times of Economic Crisis Among Lebanese Multiple Sclerosis Patients","G Ismail, M Issa, T El-Hajj, H Tfaily, M Dassouki, E Assaf, H Abboud, ...","Education 8, 0.001",,
Combined anticoagulant and antiplatelet therapy is associated with an improved outcome in hospitalised patients with COVID-19: a propensity matched cohort study,"K Matli, N Chamoun, A Fares, V Zibara, S Al-Osta, R Nasrallah, ...",,,
Effet de l'exposition médicamenteuse et de l'environnement biopsychosocial sur la survie des patients atteints de cancer colorectal en France,,,,
DOCTEUR DE L’UNIVERSITÉ DE BORDEAUX,M EL ZOGHBI,,,
"J. and Salameh, P.(2021)'COVID-19 Vaccination in the Time of Austerity: How and for Whom?'",M Abi-Rached,"Policy Brief, Arab Reform Initiative",,
Towards a Zero-COVID Lebanon: A Call for Action,"JM Abi-Rached, N Issa, J Khalife, P Salameh, A Karra-Aly, MK Asmar",,,
DOCTEUR DE L’UNIVERSITÉ DE BORDEAUX,M KHALIFEH,,,
Knowledge and Attitude towards End-of-Life Decisions among University Students in Lebanon: A Cross-Sectional Study,"F Ahmad, R Abbas, Z Jaafar, S Pascale, ELM Zeinab",,,
University Admissions: Physics in decline,"Y Wang, S Achilleos, P Salameh",,,
Polytechnic admissions,"Y Wang, S Achilleos, P Salameh",,,
Education: Less for physics,"Y Wang, S Achilleos, P Salameh",,,
"Salameh, &. P.(2011). Public schools",H Chacar,Lebanese Medical Journal adolescents’ obesity and growth curves in Lebanon …,,
"Caring for a Mentally Ill Patient at Home, Mental Health, Religiosity, and Spirituality and Their Association With Family Caregivers’ Quality of Life in Lebanon","M Akel, P Salameh, S Obeid, S Hallit",,,
Self-assessment of social cognition in a sample of Lebanese in-patients with schizophrenia,BC Clément,,,
Lebanon Waterpipe Dependence Scale,"P Salameh, M Waked, Z Aoun",Nicotine & Tobacco Research,,
Lebanese Depression Scale,"S Obeid, C Haddad, H Sacre, M Akel, C Chalhoub, C Rahme, CA Doumit, ...",Perspectives in Psychiatric Care,,
Beirut Distress Scale--Short Version,"D Malaeb, Y Farchakh, C Haddad, H Sacre, S Obeid, S Hallit, P Salameh",Perspectives in Psychiatric Care,,
Lebanese Anxiety Scale,"S Hallit, S Obeid, C Haddad, R Hallit, M Akel, G Haddad, M Soufia, ...",International Journal of Psychiatry in Clinical Practice,,
International Arab Journal of Dentistr y,"MJ Merhej, R El Hachem, H Sacre, N Ghosn",,,
"Association between cognitive function and nutritional status in elderly: a cross-sectional study in three institutions of Beirut, Lebanon. Geriatric Mental Health Care. 2013 …","M El Zoghbi, C Boulos, N Saleh, S Awada, S Rachidi, W Bawab, ...",,,
Epidemiology Of Uterine Fibroid Disease In Lebanon: A Case-Control Study,"MD Zeina El Mawla, MD Youssef Berthe","Signs 9, 14",,
"Authors’ contributions: SO, JS, PS and SH designed the study; JS drafted the manuscript; SH, CH and PS carried out the analysis and interpreted the results; SO and CH assisted …","J Strahler, C Haddad, P Salameh, H Sacre, S Obeid, S Hallit",,,
Drivers of antibiotic resistance transmission in low-and middle-income countries from a “one health” perspective—a review. Antibiotics. 2020; 9 (7): 372,"K Iskandar, L Molinier, S Hallit, M Sartelli, F Catena, F Coccolini, ...",Publisher Full Text,,
Other Tobacco Products: A Select Bibliography of Recent Studies,PTR Harm,,,
Clinical Epidemiology and Global Health,"M El-Hajja, P Salameha, S Rachidia, A Al-Hajjea, H Hosseinib",,,
Clinical Updates on Cholera,"L Traboulsi, H Sacre, A Alameddine, C Abou Selwan",,,
"l Morvillers JM, Sacre H, Salameh P, Rothan-Tondeur M",RG Nohra,Living with,,
"& Salameh, P.(2020)","C Haddad, SB Malhab, H Sacre, D Malaeb, J Azzi, D Khachman",Factors related to Pregnancy Outcome Among Lebanese Women During COVID-19 …,,
Clinical Epidemiology and Global Health,"S Saade, R Kobeissy, S Sandakli, D Malaeb, N Lahoud, S Hallit, ...",,,
International Journal of CommunityMedicine& Public Health,"HA Al Akoum, PR Salameh, AA El Abed, HA Akoum, SM Adib",,,
Symptoms and acute pesticide intoxication among agricultural workers in,"SC Pa, A Saleh",,,
Chronic obstructive pulmonary disease prevalence in Lebanon: a cross-sectional descriptive study. Clin Epidemiol. 2011; 3: 315–23,"M Waked, G Khayat, P Salameh",,,
ALPHABETIC INDEX TO ABSTRACT AUTHORS,A ATKINSON,J ALLERGY CLIN IMMUNOL 145 (2),,
"Knowledge Towards Antibiotics Use Among Lebanese Adults A study on the influence of sociodemographic factors Anna-Maria Henaine, Nathalie Lahoud, Rachel M. Abdo, Ruba Shdeed, 2 …",AM Henaine,,,
Episciences. org,"SM Archana, S François-Xavier, S Martin, S Valérie, S Séverine, S Bruno, ...",,,
Water pipe (narguile) smoking in Lebanon: A pilot study,"M Waked, P Salameh, Z Aoun",East Mediterranean Health Journal,,
Waterpipe smoking: Construction and validation of the Lebanon Waterpipe Dependence Scale (LWDS-11),"K Shishani, M El-Setouhy",,,
Mandatory continuing education for pharmacists in a developing country: assessment of a three-year cycle. Pharm Pract (Granada)[Internet]. 2019Aug. 24 [cited 2020Dec. 9]; 17 (3 …,"H Sacre, S Tawil, S Hallit, G Sili, P Salameh",,,
RÉSULTATS DE LA PRÉ-ENQUÊTE,P SALAMIEH,,,
Association between Food Patterns and Asthma and Allergic Diseases: Data from the French Six Cities Study,"D Saadeh, P Salameh, D Caillaud, D Charpin, F de Blay, C Kopferschmitt, ...",,,
Drug safety in Lebanon. 2020,"H Sacre, A Hajj, R Aoun, S Hallit, A Zeitoun, P Salameh",Drug safety in developing countries: achievements and challenges. Elsevier …,,
PSYCHIATRIC CARE,"E Parrish, S Obeid, H Sacre, C Haddad, M Akel, K Fares, M Zakhour, ...",,,
Pharmacy Practice 2020 peer reviewers,"E Alili-Idrizi, ME Amin, Z Austin, SJ Billups, AM Cavaco, JC Collins, ...",,,
Voluntary vs. Compulsory Student Evaluation of Clerkships: Effect on Validity and,"SA Bahous, P Salameh, A Salloum, W Salameh, YS Park, A Tekian",,,
Journal of Infection and Public Health Epidemiology and microbiological profile comparison between community and hospital acquired infections: A multicenter retrospective study …,"R Matta, S Hallit, R Hallit, W Bawab, A Rogues",King Saud Bin Abdulaziz University for Health Sciences,,
"on behalf of theOrder of Pharmacists Scientific Committee–Medication Safety Subcommittee (2017): Medicationsafety knowledge, attitudes and practices among community pharmacists …","A Hajj, S Hallit, E Ramia, P Salameh","Current Medical Research and Opinion, DOI 10 (03007995.2017), 1361916",,
An Indicator Based Tool for the Assessment of Good Pharmacy Practice (GPP) in Community Pharmacies in Lebanon ةادأ ةّينبم,"P Salameh, D Badro",,,
DS-COPD score for COPD diagnosis,"P Salameh, M Waked",,,
The nutrient profile of traditional Lebanese composite dishes: Comparison with composite dishes consumed in France,"P Salameh, M Batal, F Vieux, N Darmon",,,
Attitudes of Lebanese pharmacists towards online and live continuing education sessions,"S Hala, S TAWIL, S HALLIT, A HAJJ, S Georges, P SALAMEH",,,
853 Progressive Cerebral Ischemia and Intracerebral Hemorrhage after Indirect Revascularization for a Patient with Cerebral Proliferative Angiopathy,"T Kimiwada, T Hayashi, M Takahashi, R Shirane, T Tominaga, R Abdo, ...",,,
Etat des Lieux de la Résistance aux Antimicrobiens,M Matta,,,
REVIEW PAPERS,"A Tsutsumi, J Li, M Zhang, A Loerbroks, P Angerer, J Siegrist, WY Low, ...",,,
Attitude and practice of sexuality among university students in Lebanon,P Salameh,,,
Prevalence of Stroke Symptoms in Lebanon: First National Data From Lebanon,"R Farah, RK Zeidan, M Chahine, R Asmar, R Chahine, P Salameh, ...",,,
5. ASTHMA AND COPD MANAGEMENT,S HALLIT,"HEALTH PROMOTION, 20",,
ORIGINAL RESEARCH Comparison of Adhesion of a Novel Pre-sintered Cobalt–Chromium to Pre-sintered Zirconia and Cast Nickel–Chromium,"EE Daou, M Özcan, P Salameh, NAH Husain, Z Salameh",,,
6. SMOKING CESSATION COUNSELING,S HALLIT,"HEALTH PROMOTION, 20",,
9. DIABETES MELLITUS TYPE 2 MANAGEMENT,S HALLIT,"HEALTH PROMOTION, 30",,
"Anna Maria Henaine, Georges Chahine, 4 Marcel Massoud, 4, 9 Pascale Salameh, 5, 7 Sanaa Awada, 5","N Lahoud, E Elias, M Salem, S Ballout, D Hartmann, G Aulagner, ...",,,
"Health Promoting Schools, a Review of the Approach and its Challenges: The Need of a National Lebanese Survey","M Akel, I Fahs, M Takkoush, M Nakhal, M Barakat, D Saadeh, R Abdo, ...",,,
Diet and allergic diseases among population aged 0 to 18 years: myth or reality? Nutrients 2013; 5: 3399-423,"D Saadeh, P Salameh, I Baldi, C Raherison",PUBMED,,
La Revue de Santé de la Méditerranée orientale,"AS Al-Kubati, Y Al Qubati, W Ismail, SJ Laney, M El-Setouhy, AM Gad, ...",,,
Correlates of drug resistance infection between hospital acquired and community acquired infections: A multicenter study in Lebanon,"R Matta, S Hallit, R Hallit, AM Rogues, P Salameh","Age 67 (84), 32.6",,
LA RÉSISTANCE AUX ANTIBIOTIQUES AU LIBAN,AAU LIBAN,,,
"Salameh P"", Barbour B"", Kammouge C""* Université Libanaise, Faculté de Santé Publique, Section II, Fanar, Liban",DUML LES ECOLES PRIVEES,,,
ARTCLE@ R﹙ MAL《@ RGINALARTCLE SYMPI () MIS AND ACUTE PESTICIDE INTOXICATION,WIN ILEBANON,,,
Occupational health and the waterpipe tobacco industry: Insights into the health of employees,"A Al-Bakri, M Jawad, M al’Absi, P Salameh, S Kassim",,,
MANAGEMENT OF METASTATIC COLORECTAL CANCER IN LEBANESE HOSPITALS AND ESTIMATION OF ASSOCIATED DIRECT COSTS: A RETROSPECTIVE COHORT STUDY.,"AM Henaine, P Salameh, E Elias, M Massoud, M Salem",,,
CO-MORBIDITY IN LEBANESE DIABETIC PATIENTS: EVALUATION BY TWO COMORBIDITY SCORES,"B DIAB, S RACHIDI, S ZEIN, A EL-HAJJE, A ECHTAY, P SALAMEH, ...",,,
L‟ UNIVERSITE LIBANAISE ET DE L‟ UNIVERSITE PARIS SACLAY PREPAREE AL‟ UNIVERSITE PARIS SUD–XI,MZ AKIKI,,,
2016 FIP Congress in Buenos Aires (Argentina),M AKEL,,,
The Doctoral School of Sciences and Technology,N Zeina,Lebanese University,,
Medication prescribing errors: data from 7 Lebanese Hospitals,"S Awada, A Al-Hajje, S Rachidi, N Bou Chahine, S Zein, R Azar, ...",,,
Cigarette and waterpipe smoking decrease respiratory quality of life in adults: results from a national cross-sectional study,,,,
"Prescribing Patterns in Chronic Diseases, Evaluation of 1326 Medical Prescriptions from the Area of Mount Lebanon","G Choueiry, S Hallit, P Salameh",,,
"Global Journal of Health Education and Promotion Vol. 17, No. 3, pp. 56–90","SEH Ezzeddine, P Salameh","Global Journal of Health Education and Promotion 17 (3), 56-90",,
ARTCLE@ Pl@. AA@ RºNALARTCLE,"M WAKED, P SALAMEH, R ATTOUE, N KHOURY, J BAHOUS",,,
Chronic Obstructive Pulmonary Disease & Risk Factors In Middle Eastern Countries,F from Lebanon,,,
d'une campagne d'information et de dépistage de la BPCO au Liban,"G Khayat, P Salameh",,,
Fondements Philosophiques de la Bioéthique Contemporaine: Comparaison avec Vatican II,P Salameh,,,
PRATIQUE DE LA PHARMACIE CLINIQUE AU LIBAN,"S Awada, KA Al—Hajje, P Salameh, S Rachidi","clinique 1, 3",,
Association of Elevated Iron Status and the Risk of Gestational Diabetes Mellitus in Lebanese Pregnant Women,"S ZEIN, S RACHIDI, S AWADA, A AL-HAJJE, P SALAMEH, B DIAB, ...",,,
Waterpipe smoking and dependence are associated with chronic obstructive pulmonary disease: A case control study,"G Khayat, P Salameh, M Waked, M Dramaix",European Respiratory Journal 38 (Suppl 55),,
